TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_DL,Bond FVOCI,Bond_MF_Daily Interest Accrual PL,Treasury_DL|Bond FVOCI|Bond_MF_Daily Interest Accrual PL,
Treasury_DL,Borrowing,DepoLoan_MF_Trade Date Principal,Treasury_DL|Borrowing|DepoLoan_MF_Trade Date Principal,
Treasury_DL,Bond Issuance,Bond_MF_Daily Interest Accrual PL,Treasury_DL|Bond Issuance|Bond_MF_Daily Interest Accrual PL,
Treasury_DL,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_DL|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_DL,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_DL|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_DL,Bond Issuance,Bond_MF_Pay Date Settlement Principal,Treasury_DL|Bond Issuance|Bond_MF_Pay Date Settlement Principal,
Treasury_DL,Bond Issuance,Bond_MF_Pay Date Interest,Treasury_DL|Bond Issuance|Bond_MF_Pay Date Interest,
Treasury_DL,Bond Issuance,Bond_MF_Value Date Settlement,Treasury_DL|Bond Issuance|Bond_MF_Value Date Settlement,
Treasury_DL,Bond Issuance,Bond_TD_Daily Interest Accrual,Treasury_DL|Bond Issuance|Bond_TD_Daily Interest Accrual,
Treasury_DL,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_DL|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_DL,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_DL|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_DL,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization,Treasury_DL|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization,
Treasury_DL,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_DL|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_DL,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_DL|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_DL,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_DL|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_DL,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_DL|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_DL,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_DL|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_DL,Bond Issuance,PSAK_MF_Pay Date Attributable Fee,Treasury_DL|Bond Issuance|PSAK_MF_Pay Date Attributable Fee,
