TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_CI|19511633,19511633,FX_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|19511633|FX_MF_Value Date Principal|Cash Analysis Projected|Debit|FX Swap,FX Swap,
Treasury_CI|19811105,19811105,FX_MF_Value Date Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|19811105|FX_MF_Value Date Principal|Cash Analysis Projected|Credit|FX Swap,FX Swap,
Treasury_CI|14512601,14512601,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit,Treasury_CI,Treasury_CI|14512601|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit|FX Swap,FX Swap,
Treasury_CI|23012601,23012601,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit,Treasury_CI,Treasury_CI|23012601|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit|FX Swap,FX Swap,
Treasury_CI|44511101,44511101,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Credit,Treasury_CI,Treasury_CI|44511101|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Credit|FX Swap,FX Swap,
Treasury_CI|14512201,14512201,FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Debit,Treasury_CI,Treasury_CI|14512201|FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Debit|FX NDF,FX NDF,
Treasury_CI|23012201,23012201,FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Debit,Treasury_CI,Treasury_CI|23012201|FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Debit|FX NDF,FX NDF,
Treasury_CI|44511101,44511101,FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Credit,Treasury_CI,Treasury_CI|44511101|FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Credit|FX NDF,FX NDF,
Treasury_CI|61512201,61512201,FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting|Debit,Treasury_CI,Treasury_CI|61512201|FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting|Debit|FX NDF,FX NDF,
Treasury_CI|71512201,71512201,FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting|Debit,Treasury_CI,Treasury_CI|71512201|FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting|Debit|FX NDF,FX NDF,
