PRICELINKDEFINITION,,,,,,,,,,,,,,,/PRICELINKDEFINITION
INSADDR.EXTERN_ID1,PRICE_SEMANTIC_SEQNBR.NAME,XML_DATA,FORCE_UPDATE,DISNBR.DISID,SOURCE_PTYNBR.PTYID,DONOT_RESET_FIELDS,SERVICE.LIST,IDP_CODE,STOP_TIME,UPDATE_INTERVAL,SERVICE.ENTRY,INSADDR.INSID,CURR.INSID,MULTIPLICATION_FACTOR,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,CAD9M=,960,-1,IDN_SELECTFEED,USD-CAD/FXS/9M,CAD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,CAD10M=,960,-1,IDN_SELECTFEED,USD-CAD/FXS/10M,CAD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,CAD11M=,960,-1,IDN_SELECTFEED,USD-CAD/FXS/11M,CAD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,CAD1Y=,960,-1,IDN_SELECTFEED,USD-CAD/FXS/1Y,CAD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDRON=,960,-1,IDN_SELECTFEED,USD-IDR/FXS/ON,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDRSW=,960,-1,IDN_SELECTFEED,USD-IDR/FXS/1W,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR2W=,960,-1,IDN_SELECTFEED,USD-IDR/FXS/2W,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR1M=,960,-1,IDN_SELECTFEED,USD-IDR/FXS/1M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR2M=,960,-1,IDN_SELECTFEED,USD-IDR/FXS/2M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR3M=,960,-1,IDN_SELECTFEED,USD-IDR/FXS/3M,IDR,1,
