TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Attributable Fee,Treasury_SH_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Attributable Fee,
Treasury_SH_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_SH_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_SH_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_SH_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_SH_ACU,Bond Amortised Cost,PSAK_MF_Pay Date WIthholding Tax,Treasury_SH_ACU|Bond Amortised Cost|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SH_ACU,Bond Amortised Cost,Bond_MF_Value Date Settlement,Treasury_SH_ACU|Bond Amortised Cost|Bond_MF_Value Date Settlement,
Treasury_SH_ACU,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SH_ACU|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SH_ACU,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_SH_ACU|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_SH_ACU,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_SH_ACU|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_SH_ACU,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_SH_ACU|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_SH_ACU,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SH_ACU|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SH_ACU,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SH_ACU|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SH_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_SH_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_SH_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_SH_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_SH_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_SH_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
