CHOICELIST,,,/CHOICELIST
Branch,010830-KK PEKANBARU BANDARA SULTAN SYAR,KKPEKBANDA,
Branch,010831-KCP PEKANBARU AULIA HOSPITAL,KCPAULIAHO,
Branch,010832-KCP SUNGAI GUNTUNG PULAU SAMBU,KCPSUNGAIG,
Branch,010875-KCP PEKANBARU KANDIS,KCPPKBRKND,
Branch,010876-KCP PEKANBARU RAMBAH,KCPPKBRRMB,
Branch,010877-KCP PELALAWAN SOREK,KCPPLLWNSR,
Branch,010878-KCP DUMAI BUKIT KAPUR,KCPDUMAIBK,
Branch,010881-KCP KOTA LAMA,KCPKOTALAM,
Branch,010882-KCP BELILAS,KCPBELILAS,
Branch,010883-KCP UKUI,KCPUKUI,
Branch,010884-KCP FLAMBOYAN KOTA GARO,KCPFLAM,
Branch,010885-KCP PEKANBARU PASAR SUKARAMAI,KCPPEKAPSS,
Branch,010886-KCP PEKANBARU LIPAT KAIN,KCPPEKALIP,
Branch,010887-KCP PEKANBARU AIR TIRIS,KCPPEKAATR,
Branch,010888-KCP PEKANBARU MARPOYAN,KCPPEKAMAR,
Branch,010889-KCP PEKANBARU GARUDA SAKTI,KCPGARUSAK,
Branch,010890-KCP SUKA RAMAI (SURAM),KCPSURAM,
Branch,010891-KCP LUBUK DALAM,KCPLUDALAM,
Branch,010892-KCP PEKANBARU PASAR RUMBAI,KCPRUMBAI,
Branch,010893-KCP PEKANBARU PASAR SAIL,KCPSARSAIL,
Branch,010894-KCP PEKANBARU KOTA TENGAH,KCPKOTENGA,
Branch,010895-KCP PEKANBARU KASIKAN,KCPKASIKAN,
Branch,010896-KCP ROKAN HULU TAMBUSAI UTARA,KCPROKAN,
Branch,010897-KCP PEKANBARU KERITANG,KCPKERITAN,
Branch,010898-KCP PEKANBARU SIMPANG PETAI,KCPSIMPETA,
Branch,010900-KCP BATAM IMAM BONJOL,BTMIMAMBJL,
Branch,010901-KCP BATAM LUBUK BAJA,BTMLBKBAJA,
Branch,010902-KCP BATAM RAJA ALI HAJI,BTMRAJALHA,
Branch,010903-KCP BATAM SEKUPANG MARTADINATA,BTMSKPMART,
Branch,010904-KCP BATAM INDUSTRIAL PARK,BTMINDPARK,
Branch,010905-KC TANJUNG PINANG,TPIIDR,
Branch,010906-KCP TANJUNG UBAN,TGUIDR,
Branch,010907-KK BATAM BANDARA HANG NADIM,BTMHANGNAD,
Branch,010908-KK BATAM CENTER,BTMCENTER,
Branch,010909-KK BATAM BATUAJI,BTMBATUAJI,
Branch,010910-KK KAWASAN INDUSTRI TUNAS,BTMPLSAMBU,
Branch,010911-KK BATAM TIBAN,BTMTIBAN,
Branch,010912-KCP BATAM PANBIL,BTMPANBIL,
Branch,010913-KCP TANJUNG BALAI KARIMUN,TBKIDR,
Branch,010914-KCP KIJANG,KCPKIJANG,
Branch,010915-KCP NATUNA,KCPNATUNA,
Branch,010916-KK BATAM KABIL,BATAMKABIL,
